,document,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0.04997934737711688,0.02189178025609253,0.04130524576621231,0.019413465510119784,0.07021891780256091,0.027261462205700124,0.03676166873192895,0.034696406443618336,0.03717472118959108,0.020239570425444033,0.024370095002065262,0.3577034283353986,0.04378356051218505,0.03841387856257745,0.051218504750103255,0.04584882280049567,0.05039239983477901,0.02932672449401074
1,1,0.01364522417153996,0.03781676413255361,0.01364522417153996,0.019493177387914232,0.017933723196881093,0.012085769980506825,0.2304093567251462,0.051851851851851836,0.017933723196881093,0.0857699805068226,0.020662768031189084,0.0152046783625731,0.019883040935672513,0.06744639376218323,0.01676413255360624,0.03118908382066277,0.31500974658869396,0.013255360623781676
2,2,0.021285653469561516,0.16602809706257982,0.018731375053214133,0.03192848020434227,0.036185610898254575,0.022137079608343976,0.06002554278416346,0.05619412515964239,0.038739889314601955,0.028522775649212427,0.054491272882077474,0.025542784163473817,0.2788420604512558,0.04512558535547041,0.020859940400170286,0.051511281396338864,0.018305661983822902,0.025542784163473817
3,3,0.01830065359477124,0.02962962962962963,0.027450980392156866,0.026143790849673203,0.027450980392156866,0.040958605664488015,0.021350762527233117,0.01568627450980392,0.021786492374727667,0.02875816993464052,0.05446623093681916,0.3333333333333333,0.15947712418300655,0.016122004357298474,0.06274509803921569,0.014814814814814815,0.048801742919389976,0.05272331154684094
4,4,0.038476639183352965,0.03494307027875932,0.20730270906949352,0.022771888496270126,0.04279544562230075,0.038084020416175896,0.02473498233215548,0.036513545347467605,0.13113466823714173,0.026698076168040836,0.0176678445229682,0.014919513152728702,0.026698076168040836,0.12446014919513154,0.02120141342756184,0.018453082057322344,0.06203376521397722,0.1111111111111111
5,5,0.0264336917562724,0.021505376344086023,0.01747311827956989,0.10842293906810035,0.013440860215053765,0.02060931899641577,0.016129032258064516,0.01747311827956989,0.43189964157706107,0.022401433691756272,0.036738351254480286,0.021505376344086023,0.07526881720430106,0.022401433691756272,0.029121863799283155,0.033602150537634407,0.02060931899641577,0.06496415770609318
6,6,0.3005050505050505,0.03318903318903319,0.04545454545454544,0.03499278499278499,0.07683982683982682,0.02056277056277056,0.05303030303030302,0.035353535353535345,0.06313131313131312,0.03787878787878787,0.06060606060606059,0.019480519480519477,0.02922077922077922,0.011544011544011544,0.06457431457431455,0.02489177489177489,0.05988455988455987,0.028860028860028857
7,7,0.22255489021956082,0.017298735861610112,0.07850964737192279,0.017631403858948763,0.1646706586826347,0.015968063872255484,0.027611443779108444,0.08316699933466397,0.04624085163007316,0.01729873586161011,0.022621423819028603,0.01729873586161011,0.0399201596806387,0.0505655355954757,0.10612109115103124,0.028609447771124407,0.015968063872255484,0.027944111776447098
8,8,0.011904761904761906,0.023809523809523808,0.02380952380952381,0.14682539682539683,0.0154320987654321,0.04188712522045856,0.05776014109347442,0.04850088183421517,0.0154320987654321,0.03571428571428572,0.028659611992945328,0.10890652557319223,0.322310405643739,0.03218694885361552,0.013227513227513229,0.025573192239858912,0.03350970017636685,0.014550264550264551
9,9,0.03804582792909642,0.02896670990056205,0.02637267617812366,0.045827929096411604,0.05101599654128838,0.3532209252053611,0.033722438391699104,0.03891050583657589,0.030263726761781247,0.08041504539559016,0.03891050583657589,0.06787721573713792,0.017293558149589282,0.015564202334630356,0.05793341980112409,0.012537829658452232,0.048854301772589724,0.01426718547341116
10,10,0.04273504273504275,0.030589293747188488,0.018443544759334237,0.06072874493927125,0.03688708951866847,0.09176788124156546,0.35762483130904194,0.024291497975708506,0.03328834907782277,0.025641025641025647,0.02159244264507423,0.03418803418803419,0.027440395861448502,0.015744489428699958,0.05173189383715701,0.05578047683310841,0.02024291497975709,0.051282051282051294
11,11,0.015084621044885943,0.04562178072111846,0.01839587932303164,0.027225901398086824,0.023178807947019868,0.02906548933038999,0.020971302428256067,0.013612950699043412,0.0562913907284768,0.551140544518028,0.03200883002207505,0.020971302428256067,0.017660044150110372,0.015452538631346577,0.015084621044885943,0.019499632082413534,0.02649006622516556,0.05224429727740985
